coin_id,date,open,high,low,close,volume
litecoin,2025-06-29,86.30479431152344,88.35588836669922,85.92716979980469,87.99116516113281,277905455
litecoin,2025-06-30,87.99116516113281,88.24590301513672,84.93173217773438,85.98348236083984,350978484
litecoin,2025-07-01,85.98345184326172,86.7782974243164,82.4891357421875,83.24486541748047,378604364
litecoin,2025-07-02,83.2447509765625,88.44430541992188,83.17454528808594,87.3050537109375,445395341
litecoin,2025-07-03,87.30486297607422,92.1041030883789,87.04298400878906,89.00467681884766,664431144
litecoin,2025-07-04,89.00471496582031,89.20399475097656,85.83561706542969,86.86906433105469,443311764
litecoin,2025-07-05,86.86727905273438,87.81245422363281,85.9324722290039,87.51638793945312,246712540
litecoin,2025-07-06,87.51638793945312,88.34991455078125,86.54900360107422,87.3949203491211,284893873
litecoin,2025-07-07,87.3949203491211,88.19832611083984,85.22537994384766,86.0885238647461,389381283
litecoin,2025-07-08,86.08860778808594,87.93972778320312,85.58676147460938,87.68562316894531,336652893
litecoin,2025-07-09,87.68562316894531,91.3194580078125,87.21420288085938,90.69892883300781,532651549
litecoin,2025-07-10,90.69892883300781,95.13665008544922,90.21781921386719,94.80078125,567862448
litecoin,2025-07-11,94.8007583618164,98.11109161376953,92.991943359375,94.24921417236328,832216258
litecoin,2025-07-12,94.24921417236328,95.37165832519531,90.90095520019531,92.77886199951172,495945011
litecoin,2025-07-13,92.77886199951172,96.77396392822266,92.60377502441406,94.6480712890625,479511705
litecoin,2025-07-14,94.6480712890625,97.81761169433594,94.32838439941406,95.56168365478516,654942624
litecoin,2025-07-15,95.56175231933594,96.65665435791016,91.43003845214844,96.32420349121094,677076010
litecoin,2025-07-16,96.32420349121094,99.87815856933594,95.2217788696289,97.50311279296875,740323178
litecoin,2025-07-17,97.50311279296875,103.47513580322266,95.61459350585938,101.6133804321289,1084635926
litecoin,2025-07-18,101.61276245117188,111.89652252197266,100.21292877197266,101.67029571533203,1855244520
litecoin,2025-07-19,101.67024993896484,113.49437713623047,99.8890151977539,113.44483947753906,1366523077
litecoin,2025-07-20,113.43801879882812,121.29607391357422,110.85592651367188,116.86455535888672,1788741762
litecoin,2025-07-21,116.86455535888672,121.85041809082031,114.82139587402344,115.85136413574219,1256762792
litecoin,2025-07-22,115.85287475585938,119.72757720947266,112.97354888916016,119.72321319580078,1289928158
litecoin,2025-07-23,119.72321319580078,121.89842987060547,109.18413543701172,112.19160461425781,1308642897
litecoin,2025-07-24,112.18927001953125,115.28633880615234,106.9859848022461,112.31222534179688,939814899
litecoin,2025-07-25,112.31222534179688,116.2565689086914,108.65922546386719,113.81566619873047,972174923
litecoin,2025-07-26,113.81546020507812,115.40968322753906,112.1849136352539,113.98574829101562,502830524
litecoin,2025-07-27,113.97541046142578,115.43243408203125,112.6373291015625,114.80377197265625,536393875
litecoin,2025-07-28,114.80359649658203,116.271484375,108.50888061523438,108.59437561035156,694833022
litecoin,2025-07-29,108.59674072265625,110.6766357421875,107.0328598022461,108.53234100341797,616382447
litecoin,2025-07-30,108.53234100341797,111.12191772460938,106.57289123535156,110.53424835205078,801543068
litecoin,2025-07-31,110.53424835205078,111.71803283691406,105.9680404663086,106.22357177734375,684405941
litecoin,2025-08-01,106.22247314453125,108.09593200683594,103.7477035522461,106.64380645751953,1130900178
litecoin,2025-08-02,106.6432113647461,109.85327911376953,104.56810760498047,106.23706817626953,936925752
litecoin,2025-08-03,106.23706817626953,111.20707702636719,104.65965270996094,110.4697265625,619301155
litecoin,2025-08-04,110.46997833251953,121.33966064453125,110.28350067138672,121.20524597167969,1214564672
litecoin,2025-08-05,121.20436096191406,128.78732299804688,119.74081420898438,120.26901245117188,1816200417
litecoin,2025-08-06,120.26873016357422,120.97944641113281,115.29591369628906,119.29515075683594,903681272
litecoin,2025-08-07,119.29481506347656,122.72650146484375,117.5774917602539,122.7258071899414,1168601895
litecoin,2025-08-08,122.72575378417969,126.08000183105469,119.70303344726562,123.87100982666016,1148348257
litecoin,2025-08-09,123.87010955810547,126.13383483886719,120.35804748535156,120.42219543457031,833424606
litecoin,2025-08-10,120.42184448242188,125.49437713623047,118.60415649414062,123.7939453125,934579237
litecoin,2025-08-11,123.7939453125,127.67213439941406,119.73428344726562,120.28968811035156,1370403494
litecoin,2025-08-12,120.28976440429688,131.7564239501953,118.53736877441406,130.46371459960938,1343826519
litecoin,2025-08-13,130.46371459960938,133.91891479492188,128.74183654785156,130.97703552246094,1206662600
litecoin,2025-08-14,130.97671508789062,133.68826293945312,119.89668273925781,121.29955291748047,1374736977
litecoin,2025-08-15,121.30584716796875,123.15582275390625,116.83715057373047,119.047119140625,874257688
litecoin,2025-08-16,119.04772186279297,120.94686889648438,117.35562896728516,120.94686889648438,563468906
litecoin,2025-08-17,120.94698333740234,123.22441864013672,119.99160766601562,120.84668731689453,648987761
litecoin,2025-08-18,120.84622192382812,120.9471435546875,115.56209564208984,117.70344543457031,749192122
litecoin,2025-08-19,117.70344543457031,119.02588653564453,112.38813781738281,112.48564147949219,757336681
litecoin,2025-08-20,112.48693084716797,117.02444458007812,112.48587036132812,116.02650451660156,681776075
litecoin,2025-08-21,116.02650451660156,116.99514770507812,113.56800079345703,114.64163970947266,482258580
